2025-05-19 19:00:41, 59.5 °C, 84.5 %, 14615/16195 MiB free
2025-05-19 19:00:47, 59.5 °C, 94.9 %, 14615/16195 MiB free
2025-05-19 19:00:53, 59.5 °C, 92.5 %, 14613/16195 MiB free
2025-05-19 19:00:58, 60.6 °C, 90.8 %, 14613/16195 MiB free
2025-05-19 19:01:04, 60.6 °C, 94.4 %, 14613/16195 MiB free
2025-05-19 19:01:09, 60.6 °C, 93.9 %, 14613/16195 MiB free
2025-05-19 19:01:15, 60.6 °C, 91.4 %, 14613/16195 MiB free
2025-05-19 19:01:20, 60.6 °C, 90.5 %, 14613/16195 MiB free
2025-05-19 19:01:26, 59.5 °C, 88.4 %, 14613/16195 MiB free
2025-05-19 19:01:31, 60.6 °C, 94.9 %, 14613/16195 MiB free
2025-05-19 19:01:37, 60.0 °C, 83.1 %, 14613/16195 MiB free
2025-05-19 19:01:42, 60.6 °C, 88.5 %, 14613/16195 MiB free
2025-05-19 19:01:48, 60.6 °C, 85.5 %, 14613/16195 MiB free
2025-05-19 19:01:53, 60.0 °C, 91.7 %, 14613/16195 MiB free
2025-05-19 19:01:59, 61.1 °C, 92.0 %, 14613/16195 MiB free
2025-05-19 19:02:04, 60.6 °C, 91.8 %, 14613/16195 MiB free
2025-05-19 19:02:10, 60.6 °C, 89.9 %, 14613/16195 MiB free
2025-05-19 19:02:15, 61.1 °C, 89.1 %, 14613/16195 MiB free
2025-05-19 19:02:21, 60.0 °C, 89.4 %, 14613/16195 MiB free
2025-05-19 19:02:26, 60.0 °C, 90.9 %, 14613/16195 MiB free
2025-05-19 19:02:32, 61.1 °C, 89.6 %, 14613/16195 MiB free
2025-05-19 19:02:37, 60.6 °C, 88.8 %, 14613/16195 MiB free
2025-05-19 19:02:43, 60.0 °C, 88.7 %, 14613/16195 MiB free
2025-05-19 19:02:48, 60.6 °C, 88.8 %, 14613/16195 MiB free
2025-05-19 19:02:54, 60.6 °C, 89.4 %, 14613/16195 MiB free
2025-05-19 19:03:00, 61.7 °C, 92.9 %, 14613/16195 MiB free
2025-05-19 19:03:05, 60.6 °C, 93.4 %, 14613/16195 MiB free
2025-05-19 19:03:11, 60.6 °C, 88.3 %, 14613/16195 MiB free
2025-05-19 19:03:16, 60.6 °C, 90.8 %, 14613/16195 MiB free
2025-05-19 19:03:22, 61.1 °C, 87.2 %, 14613/16195 MiB free
2025-05-19 19:03:27, 61.7 °C, 89.9 %, 14612/16195 MiB free
2025-05-19 19:03:33, 61.1 °C, 87.8 %, 14612/16195 MiB free
2025-05-19 19:03:38, 60.6 °C, 93.9 %, 14612/16195 MiB free
2025-05-19 19:03:44, 59.5 °C, 86.9 %, 14612/16195 MiB free
2025-05-19 19:03:49, 61.1 °C, 90.4 %, 14612/16195 MiB free
2025-05-19 19:03:55, 60.0 °C, 85.3 %, 14612/16195 MiB free
2025-05-19 19:04:00, 61.1 °C, 90.8 %, 14612/16195 MiB free
2025-05-19 19:04:06, 59.5 °C, 92.3 %, 14612/16195 MiB free
2025-05-19 19:04:11, 61.1 °C, 92.0 %, 14612/16195 MiB free
2025-05-19 19:04:17, 61.1 °C, 87.8 %, 14612/16195 MiB free
2025-05-19 19:04:22, 60.6 °C, 90.8 %, 14612/16195 MiB free
2025-05-19 19:04:28, 61.1 °C, 86.1 %, 14612/16195 MiB free
2025-05-19 19:04:33, 60.6 °C, 86.9 %, 14612/16195 MiB free
2025-05-19 19:04:39, 61.1 °C, 90.4 %, 14612/16195 MiB free
2025-05-19 19:04:44, 60.6 °C, 93.5 %, 14612/16195 MiB free
2025-05-19 19:04:50, 60.0 °C, 89.5 %, 14612/16195 MiB free
2025-05-19 19:04:56, 61.1 °C, 88.3 %, 14612/16195 MiB free
2025-05-19 19:05:01, 60.6 °C, 87.4 %, 14612/16195 MiB free
2025-05-19 19:05:07, 61.1 °C, 93.4 %, 14612/16195 MiB free
2025-05-19 19:05:12, 60.6 °C, 91.8 %, 14612/16195 MiB free
2025-05-19 19:05:18, 61.1 °C, 92.0 %, 14612/16195 MiB free
2025-05-19 19:05:23, 59.5 °C, 85.2 %, 14612/16195 MiB free
2025-05-19 19:05:29, 60.6 °C, 96.0 %, 14612/16195 MiB free
2025-05-19 19:05:34, 60.6 °C, 89.8 %, 14612/16195 MiB free
2025-05-19 19:05:40, 61.1 °C, 91.5 %, 14612/16195 MiB free
2025-05-19 19:05:45, 61.1 °C, 92.1 %, 14565/16195 MiB free
2025-05-19 19:05:51, 61.1 °C, 99.0 %, 14464/16195 MiB free
2025-05-19 19:05:56, 60.6 °C, 96.1 %, 14352/16195 MiB free
2025-05-19 19:06:02, 60.6 °C, 76.5 %, 14311/16195 MiB free
2025-05-19 19:06:07, 60.6 °C, 87.5 %, 14356/16195 MiB free
2025-05-19 19:06:13, 61.1 °C, 91.3 %, 14452/16195 MiB free
2025-05-19 19:06:18, 60.6 °C, 94.5 %, 14466/16195 MiB free
2025-05-19 19:06:24, 61.1 °C, 79.4 %, 14477/16195 MiB free
2025-05-19 19:06:29, 61.1 °C, 80.4 %, 14516/16195 MiB free
2025-05-19 19:06:35, 60.6 °C, 80.1 %, 14515/16195 MiB free
2025-05-19 19:06:40, 61.1 °C, 77.0 %, 14518/16195 MiB free
2025-05-19 19:06:46, 60.0 °C, 90.6 %, 14518/16195 MiB free
2025-05-19 19:06:51, 60.6 °C, 97.5 %, 14461/16195 MiB free
2025-05-19 19:06:57, 61.1 °C, 88.8 %, 14450/16195 MiB free
2025-05-19 19:07:02, 60.6 °C, 80.5 %, 14468/16195 MiB free
2025-05-19 19:07:08, 61.1 °C, 82.2 %, 14498/16195 MiB free
2025-05-19 19:07:14, 60.6 °C, 92.8 %, 14464/16195 MiB free
2025-05-19 19:07:19, 60.6 °C, 79.1 %, 14482/16195 MiB free
2025-05-19 19:07:25, 61.7 °C, 77.4 %, 14500/16195 MiB free
2025-05-19 19:07:30, 60.6 °C, 81.4 %, 14502/16195 MiB free
2025-05-19 19:07:36, 60.6 °C, 78.1 %, 14489/16195 MiB free
2025-05-19 19:07:41, 61.1 °C, 92.0 %, 14512/16195 MiB free
2025-05-19 19:07:47, 61.1 °C, 93.5 %, 14516/16195 MiB free
2025-05-19 19:07:52, 62.2 °C, 94.4 %, 14525/16195 MiB free
2025-05-19 19:07:58, 60.6 °C, 74.5 %, 14433/16195 MiB free
2025-05-19 19:08:03, 61.1 °C, 90.1 %, 14460/16195 MiB free
2025-05-19 19:08:09, 61.1 °C, 92.9 %, 14488/16195 MiB free
2025-05-19 19:08:14, 60.6 °C, 82.8 %, 14469/16195 MiB free
2025-05-19 19:08:20, 60.6 °C, 85.3 %, 14479/16195 MiB free
2025-05-19 19:08:25, 60.6 °C, 93.0 %, 14495/16195 MiB free
2025-05-19 19:08:31, 61.1 °C, 93.9 %, 14495/16195 MiB free
2025-05-19 19:08:36, 61.1 °C, 92.3 %, 14491/16195 MiB free
2025-05-19 19:08:42, 60.6 °C, 89.9 %, 14491/16195 MiB free
2025-05-19 19:08:47, 60.6 °C, 85.9 %, 14493/16195 MiB free
2025-05-19 19:08:53, 60.6 °C, 96.0 %, 14495/16195 MiB free
2025-05-19 19:08:58, 61.1 °C, 83.8 %, 14500/16195 MiB free
2025-05-19 19:09:04, 61.1 °C, 80.7 %, 14500/16195 MiB free
2025-05-19 19:09:09, 60.6 °C, 91.1 %, 14475/16195 MiB free
2025-05-19 19:09:15, 60.0 °C, 93.8 %, 14479/16195 MiB free
2025-05-19 19:09:20, 61.1 °C, 83.0 %, 14505/16195 MiB free
2025-05-19 19:09:26, 61.1 °C, 98.0 %, 14487/16195 MiB free
2025-05-19 19:09:32, 59.5 °C, 93.4 %, 14479/16195 MiB free
2025-05-19 19:09:37, 61.1 °C, 86.2 %, 14470/16195 MiB free
2025-05-19 19:09:43, 61.1 °C, 93.4 %, 14473/16195 MiB free
2025-05-19 19:09:48, 60.6 °C, 96.5 %, 14479/16195 MiB free
2025-05-19 19:09:54, 61.1 °C, 88.1 %, 14463/16195 MiB free
2025-05-19 19:09:59, 61.1 °C, 86.3 %, 14502/16195 MiB free
2025-05-19 19:10:05, 59.0 °C, 76.8 %, 14501/16195 MiB free
2025-05-19 19:10:10, 60.6 °C, 88.2 %, 14503/16195 MiB free
2025-05-19 19:10:16, 61.7 °C, 80.5 %, 14503/16195 MiB free
2025-05-19 19:10:21, 60.6 °C, 90.7 %, 14479/16195 MiB free
2025-05-19 19:10:27, 61.1 °C, 96.0 %, 14465/16195 MiB free
2025-05-19 19:10:32, 61.1 °C, 91.8 %, 14462/16195 MiB free
2025-05-19 19:10:38, 61.1 °C, 90.8 %, 14479/16195 MiB free
2025-05-19 19:10:43, 60.0 °C, 81.4 %, 14501/16195 MiB free
2025-05-19 19:10:49, 61.7 °C, 96.5 %, 14485/16195 MiB free
2025-05-19 19:10:55, 60.6 °C, 80.6 %, 14492/16195 MiB free
2025-05-19 19:11:00, 60.6 °C, 88.7 %, 14492/16195 MiB free
2025-05-19 19:11:06, 61.7 °C, 85.9 %, 14492/16195 MiB free
2025-05-19 19:11:11, 61.1 °C, 79.6 %, 14492/16195 MiB free
2025-05-19 19:11:17, 60.0 °C, 89.6 %, 14492/16195 MiB free
2025-05-19 19:11:22, 60.6 °C, 93.9 %, 14499/16195 MiB free
2025-05-19 19:11:28, 61.7 °C, 91.7 %, 14467/16195 MiB free
2025-05-19 19:11:33, 60.0 °C, 87.5 %, 14476/16195 MiB free
2025-05-19 19:11:39, 60.6 °C, 92.3 %, 14487/16195 MiB free
2025-05-19 19:11:44, 60.0 °C, 89.9 %, 14489/16195 MiB free
2025-05-19 19:11:50, 59.0 °C, 89.8 %, 14487/16195 MiB free
2025-05-19 19:11:55, 60.6 °C, 91.3 %, 14488/16195 MiB free
2025-05-19 19:12:01, 60.6 °C, 79.9 %, 14488/16195 MiB free
2025-05-19 19:12:06, 60.6 °C, 82.0 %, 14488/16195 MiB free
2025-05-19 19:12:12, 60.6 °C, 81.6 %, 14488/16195 MiB free
2025-05-19 19:12:17, 60.0 °C, 78.0 %, 14488/16195 MiB free
2025-05-19 19:12:23, 60.0 °C, 78.9 %, 14488/16195 MiB free
2025-05-19 19:12:28, 59.0 °C, 86.7 %, 14488/16195 MiB free
2025-05-19 19:12:34, 61.7 °C, 92.3 %, 14475/16195 MiB free
2025-05-19 19:12:39, 60.6 °C, 98.5 %, 14478/16195 MiB free
2025-05-19 19:12:45, 59.5 °C, 95.5 %, 14485/16195 MiB free
2025-05-19 19:12:50, 60.0 °C, 90.4 %, 14496/16195 MiB free
2025-05-19 19:12:56, 60.0 °C, 77.7 %, 14497/16195 MiB free
2025-05-19 19:13:02, 60.0 °C, 88.8 %, 14499/16195 MiB free
2025-05-19 19:13:07, 60.0 °C, 87.4 %, 14499/16195 MiB free
2025-05-19 19:13:13, 60.0 °C, 88.5 %, 14499/16195 MiB free
2025-05-19 19:13:18, 60.0 °C, 92.5 %, 14499/16195 MiB free
2025-05-19 19:13:24, 59.0 °C, 84.1 %, 14499/16195 MiB free
2025-05-19 19:13:29, 59.5 °C, 83.4 %, 14499/16195 MiB free
2025-05-19 19:13:35, 59.0 °C, 78.8 %, 14499/16195 MiB free
2025-05-19 19:13:40, 60.0 °C, 80.3 %, 14499/16195 MiB free
2025-05-19 19:13:46, 60.6 °C, 80.8 %, 14499/16195 MiB free
2025-05-19 19:13:51, 61.1 °C, 90.9 %, 14503/16195 MiB free
2025-05-19 19:13:57, 59.0 °C, 88.8 %, 14503/16195 MiB free
2025-05-19 19:14:02, 60.0 °C, 83.8 %, 14503/16195 MiB free
2025-05-19 19:14:08, 60.0 °C, 89.4 %, 14503/16195 MiB free
2025-05-19 19:14:13, 60.0 °C, 78.0 %, 14501/16195 MiB free
2025-05-19 19:14:19, 60.0 °C, 91.8 %, 14485/16195 MiB free
2025-05-19 19:14:24, 60.6 °C, 96.5 %, 14476/16195 MiB free
2025-05-19 19:14:30, 59.5 °C, 80.3 %, 14496/16195 MiB free
2025-05-19 19:14:35, 59.0 °C, 83.0 %, 14499/16195 MiB free
2025-05-19 19:14:41, 59.5 °C, 82.9 %, 14499/16195 MiB free
2025-05-19 19:14:46, 60.6 °C, 76.2 %, 14499/16195 MiB free
2025-05-19 19:14:52, 61.1 °C, 96.0 %, 14475/16195 MiB free
2025-05-19 19:14:57, 61.1 °C, 95.9 %, 14471/16195 MiB free
2025-05-19 19:15:03, 60.6 °C, 94.9 %, 14501/16195 MiB free
2025-05-19 19:15:08, 60.6 °C, 80.7 %, 14487/16195 MiB free
2025-05-19 19:15:14, 60.0 °C, 81.5 %, 14511/16195 MiB free
2025-05-19 19:15:20, 60.6 °C, 81.4 %, 14511/16195 MiB free
2025-05-19 19:15:25, 60.0 °C, 79.2 %, 14509/16195 MiB free
2025-05-19 19:15:31, 59.5 °C, 84.4 %, 14508/16195 MiB free
2025-05-19 19:15:36, 60.0 °C, 90.9 %, 14494/16195 MiB free
2025-05-19 19:15:42, 59.0 °C, 92.4 %, 14486/16195 MiB free
